Site ,Fire,Source,year_surveyed,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner 2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief ,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,2yr_storm,100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs
Brianhead 1,"Brianhead, 2017",Primary Fieldwork,2020,37.747758,-112.788707,,1.81,12.71,33.94,1116,13.67,30.08,50.59,3.72,4.23,1.89,65,50,97.5,small,-25,35,73.125,131.625,,110.0143753,880.6066471,7048.788533,211.7002906,1694.548395,13563.95995,0.36,305,2631,54,0.19,15.5,14.91559982,unsorted,clast ,not stratified,10,4,4,volcanic,igneous,5.09,15.48,12.23,9.8,4.82,2.63,2.53,2.74,0.03,0.16,55.38074664,0,0,0,28.13,71.87,70.24,0.03,310.24,34.97,0,1.21,147.05,0.76,22.76,1.09,56.23,1.82,0.18,0,0,39.61,1,756.61,30,4.62,182.88
Brianhead 2,"Brianhead, 2017",Primary Fieldwork,2020,37.741477,-112.793208,,1,12.4,54.62,527,11.58,30.29,51.53,6.82,5.77,2.15,500,25,625,small,-25,35,468.75,843.75,,805.8855835,6450.686101,51634.31638,1563.943249,12518.53512,100204.2252,2.98,744,2924,45,1.34,14,14.3039999,unsorted,matrix,not stratified,5,5,5,volcanic,igneous,5.33,16.07,11.88,10.54,4.7,2.57,2.57,2.63,0.04,0.16,54.27291063,0,0,0,13.77,86.23,70.42,0.03,317.89,31.03,0,2.51,145.97,0.64,28.55,4.62,52.72,6.22,1.87,0,0,31.22,3.27,859.86,30.21,3.35,182.88
Brianhead 3,"Brianhead, 2017",Primary Fieldwork,2020,37.724362,-112.706177,,0.33,11.85,55.86,537.5,12.15,40.99,74.31,40.22,7.4,2.61,1500,20,1800,small,-25,35,1350,2430,,136.56922,1093.164076,8750.197865,261.7159524,2094.897205,16768.53956,0.62,276,2832,81,0.5,13,16.05979919,sorted ,matrix,stratified ,10,4,4,volcanic,igneous,4.92,15.1,14.86,3.73,5.62,3.17,2.03,3.6,0.03,0.18,64.69117819,0,0,0,0,100,72.66,0.04,349.5,35,0,1.2,147.06,0.76,22.57,0.04,43.61,19.17,0.19,0,0,31.5,4.98,690.55,38.65,3.77,182.88
Brianhead 3.2,"Brianhead, 2017",Primary Fieldwork,2020,,,,,,,,,,,,,,,,,,,,,,,136.56922,1093.164076,8750.197865,261.7159524,2094.897205,16768.53956,0.62,276,2832,81,0.5,13,16.05979919,,,,,,,volcanic,igneous,4.92,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brianhead 4,"Brianhead, 2017",Primary Fieldwork,2020,37.758556,-112.794052,,1.68,21.61,58.63,820,19.3,31.65,53.75,5.05,5.13,1.48,380,40,532,small,-25,35,399,718.2,,174.9199256,1400.141107,11207.38597,330.7930047,2647.822323,21194.41148,2.1,473,2575,8,0.17,54,23.7432003,unsorted,matrix,not stratified,3,4,3,Limestone,sedimentary,4.63,14.33,9.45,15.46,3.85,2.16,3.04,1.84,0.04,0.14,46.56477243,0,0,0,45.32,54.68,71.26,0.03,300.02,32.94,0,1.88,146.5,0.7,25.67,4.26,62.2,3.78,1,0,0,25,3.59,776.01,30.11,4.23,182.88
Clay Springs 1,"Clay Springs Fire, 2012",Primary Fieldwork,2020,39.356533,-112.164818,,1.08,10.51,40.23,380,11.43,40.23,72.48,1.4,5.22,2.66,1050,45,1522.5,small,-25,35,1141.875,2055.375,,973.2651022,7790.470256,62358.57699,1666.823238,13342.0348,106795.9028,4.01,901,2269,36,1.44,65,26.46249962,unsorted,clast,not stratified,5,4,3,Limestone,sedimentary,3.28,10.18,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88
Clay Springs 2,"Clay Springs Fire, 2012",Primary Fieldwork,2020,39.33334,-112.150673,,13.15,32.95,58.78,,16.96,26.36,43.17,,2.16,1.35,170,10,187,small,-25,35,140.25,252.45,,548.3474409,4389.230045,35133.45545,937.9456133,7507.756505,60095.60356,2.07,1029,2154,7,0.14,56,22.48500061,unsorted,clast,not stratified,3,3,2,Limestone,sedimentary,3.15,9.93,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88
Dairy Fork 1,"Coal Hollow Fire, 2018",Primary Fieldwork,2020,39.950798,-111.349319,,2.62,13.97,57.36,540,6.63,20.95,38.26,3.37,4.45,2.53,120,45,174,small,-25,35,130.5,234.9,,444.4756672,3557.791661,28478.23276,782.8707064,6266.464233,50159.71816,2.12,583,2141,63,1.34,5,12.11830044,sorted,matrix,not stratified,5,3,3,mudstone,sedimentary,3.35,10.77,6.91,17.1,2.57,1.54,3.12,0.93,0.12,0.18,41.36916538,0,0,0,100,0,76.74,0.02,338.03,22.87,0,4.7,108.43,0.56,38.65,0,15.68,61.01,0,0,0,0,23.31,572.16,248,6.99,182.88
Dairy Fork 2,"Coal Hollow Fire, 2018",Primary Fieldwork,2020,39.953975,-111.347712,,0.9,4.78,13.58,490,2,8.25,19.3,,3.92,3.27,25,45,36.25,small,-25,35,27.1875,48.9375,,131.1350739,1049.666622,8402.023849,230.6413696,1846.161673,14777.54372,1.01,309,1993,48,0.48,3,13.21969986,unsorted,matrix,not stratified,2,4,2,mudstone,sedimentary,3.33,10.71,6.57,18.32,2.5,1.54,3.59,0.9,0.11,0.18,39.28827163,0,0,0,100,0,77.29,0.03,296.74,22.23,0,4.73,108.81,0.67,38.79,0.03,43.59,34.9,0,0,0,0.21,21.21,565.32,248,6.84,182.88
Dollar Ridge 1,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.120918,-110.744614,,0.53,6.88,56.88,860,19.21,32.26,55.9,0.43,6.75,1.54,1060,25,1325,small,-25,35,993.75,1788.75,,30.44355083,243.6844563,1950.564655,52.04251141,416.5726648,3334.442946,0.15,225,2054,17,0.03,26,18.41080093,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,2.75,9.2,6.8,18.6,2.63,1.53,3.51,1.02,0.11,0.19,39.05255312,0.02,0,0,99.98,0,79.03,0.02,262.52,20.38,0,6.06,101.72,1.31,36.53,9.2,46.11,5.33,0.06,0.11,0,1.24,37.45,519.64,57.78,5.03,181.97
Dollar Ridge 2,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.114964,-110.812256,,0.03,6.22,47.6,820,2,20.57,65.33,12.05,10.63,5.03,5600,25,7000,small,-25,35,5250,9450,,5614.71204,44942.78799,359743.1494,9598.773832,76833.08675,615008.0545,117.07,1239,2576,23,26.93,46,22.56940079,sorted,matrix,not stratified,5,4,3,sandstone,sedimentary,3.52,10.57,8.17,12.05,3.32,1.75,3.28,1.06,0.07,0.17,49.36575646,0,0,0,100,0,74.23,0.03,248.35,23.29,0,4.44,104.02,1.22,32.62,7.31,51.71,11.87,0.1,0,0,2.91,24.85,572.57,57.9,4.78,182.56
Dollar Ridge 3,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.118462,-110.829193,,2.41,5.17,7.93,370,2,24.69,54.98,,1.72,4.78,60,45,87,small,-25,35,65.25,117.45,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.07,279,2028,0,0,0,26.57410049,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.52,10,9.47,6.2,4.16,1.96,3.02,1.1,0.05,0.16,58.28841377,1.97,0,0,85.04,0,67.93,0.21,424.18,23.72,0,5.33,115.31,1.16,33.64,0.6,19.49,37.16,0.14,0.01,0.03,1.21,31.09,643.03,59.3,4.41,179.13
Dollar Ridge 4,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.12064,-110.790771,,2.7,7.5,46.98,628,10.33,19.3,36.28,6.92,4.12,1.81,650,60,1040,small,-25,35,780,1404,,157.3765065,1259.715354,10083.35239,250.9352514,2008.603419,16077.80363,0.52,464,2137,35,0.18,70,24.20999908,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,3.52,9.44,9.25,7.17,4.02,1.92,3.06,1.09,0.05,0.16,56.80742655,1.65,0,0,87.49,0,68.94,0.19,395.36,23.6,0,5.2,113.32,1.17,33.53,1.66,25.02,32.88,0.13,0.01,0.02,1.46,30.01,629.54,59.07,4.49,179.72
Dollar Ridge 5,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.121447,-110.834881,,3.43,20.56,60.11,720,10.58,29.09,61.65,42.34,4.13,2.54,3000,20,3600,small,-25,35,2700,4860,,253.862822,2032.037067,16265.37754,435.1947662,3483.502978,27883.5913,2.77,607,2295,10,0.28,41,24.21559906,sorted,matrix,not stratified,5,4,4,sandstone,sedimentary,2.83,9.39,9.47,6.21,4.16,1.96,3.02,1.1,0.05,0.16,58.27125284,1.99,0,0,84.9,0,67.91,0.22,425.92,23.75,0,5.33,115.44,1.15,33.62,0.57,18.94,37.45,0.14,0.01,0.03,1.22,31.27,644.79,59.31,4.39,179.1
Lake Fork 1,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.962445,-111.458642,,6.3,23.09,58.11,1310,2,21.34,52.27,23.54,3.21,4.71,11000,25,13750,medium,-28,30,9900,17875,,1753.876563,14038.85043,112373.5418,3075.094964,24614.50204,197026.0165,9.06,916,2120,75,6.8,58,21.99250031,sorted,matrix,not stratified,20,4,4,sandstone,sedimentary,3.27,10.55,4.69,19.87,2.32,1.41,5.83,0.34,0.05,0.11,36.00748314,0,0,0,100,0,76.57,0.21,244.16,34.03,0,1.76,145.16,1.07,23.47,0,38.97,55.89,0,0,0,0.27,4.87,575,248,7.38,182.88
Lake Fork 2,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.966936,-111.456697,,3.4,16,58.48,620,12.58,33.71,68,25.06,4.1,2.43,830,40,1162,small,-25,35,871.5,1568.7,,100.8758689,807.4577565,6463.270511,176.7178271,1414.532354,11322.58026,0.26,373,1861,50,0.13,46,20.71120071,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.2,10.41,5.93,15.9,2.78,1.63,5.05,0.51,0.06,0.12,42.17464891,1.62,0,0,95.76,2.62,72.05,0.3,249.06,30.96,0,2.26,142.02,1.42,26.17,0.06,43.27,49.68,0,0.05,0,0.52,6.1,612.78,246.52,6.4,182.88
POCR Blind Canyon 1,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.941927,-111.523092,,1.44,13.05,33.05,724,9.74,18.2,30.31,9.82,4.52,1.64,520,60,832,small,-25,35,624,1123.2,,85.48833074,684.2886859,5477.367515,148.9647865,1192.384003,9544.400685,0.52,319,1874,27,0.14,40,24.81489944,unsorted,matrix,not stratified,3,3,,dacite,igneous,3.16,10.25,5,21.15,2.37,1.46,5.58,0.55,0.05,0.11,34.67663335,1.12,0,0,91.02,7.87,79.49,0.18,257.71,34.02,0,1.76,145.22,1.07,23.45,0.02,36.99,49.27,0,0,0,1.16,12.35,586.85,248,6.97,182.88
POCR Cox Canyon,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.892185,-111.536011,,0.047,17.01,40.3,505,9.2,25.31,45.3,14.1,9.74,2.3,2600,5,2730,small,-25,35,2047.5,3685.5,,427.8025739,3424.332404,27409.96228,749.7139723,6001.062186,48035.31572,3.24,579,2115,39,1.26,65,21.78660011,sorted,matrix,not stratified,35,3,4,sandstone,sedimentary,3.28,10.56,6.09,18.95,2.94,1.67,5.03,0.84,0.05,0.11,38.11168222,6.79,0,0,81.86,11.35,77.33,0.38,250.31,33.63,0,1.99,145.49,1.08,23.73,0,52.73,7.35,0,0.02,0,0.11,38.92,507.58,248,7.27,182.88
POCR Thistle Creek,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.953434,-111.529686,,2.97,17.47,49.11,490,18.2,39.7,81.67,14.66,4.05,2.17,230,5,241.5,small,-25,35,181.125,326.025,,37.24853428,298.1547347,2386.570306,64.91466924,519.6074521,4159.181698,0.28,255,1744,10,0.03,40,28.37339973,sorted,matrix,not stratified,10,4,5,dacite,igneous,3.12,10.18,8.68,11.78,4.72,2.08,3.22,1.34,0.09,0.14,49.19098448,16.81,0,0,60.87,22.32,69.42,4.12,307.32,28.56,0.01,3.34,137.35,1.28,26.97,0.09,27.28,38.55,0,2.35,0,0.32,30.16,556.44,246.1,6.61,182.88
Seeley 1,"Seeley Fire, 2012",Primary Fieldwork,2020,39.541237,-111.161819,,0.05,32,93,855,26.36,62,119.43,0,10.86,2.18,490,35,661.5,small,-25,35,496.125,893.025,,169.4400006,1356.277218,10856.27883,295.8906087,2368.447179,18958.16182,0.39,520,2721,36,0.14,81,21.20680046,unsorted,matrix,not stratified,10,4,3,sandstone,sedimentary,3.55,10.98,4.23,15.83,3.04,1.33,6.09,0.24,0.12,0.12,38.76013599,0,0,0,100,0,58.61,0.12,297.03,24.65,0,4.2,110.26,1.22,30.12,0.15,44.81,36.09,0.32,0,0,3.82,12.24,689.59,24.68,3.01,182.38
Shingle 1,"Shingle Fire, 2012",Primary Fieldwork,2020,37.43088175,-112.6007859,,1.02,14.21,43.29,570,11.82,26.4,50.61,1.06,5.41,2.1,930,10,1023,small,-25,35,767.25,1381.05,,92.9027319,743.6370296,5952.419487,174.1280266,1393.802376,11156.64779,0.47,290,2326,44,0.21,42,17.44420052,unsorted,matrix,not stratified,10,4,4,Limestone,sedimentary,3.65,12.4,5.16,23.87,2.53,1.43,3.9,0.42,0.05,0.11,32.93591321,0.2,0,0,99.8,0,70.79,0.16,252.67,27.44,0,3.54,88.75,0.97,27.54,3.55,91.99,2.93,0,0,0,0.18,1.27,507.73,38.01,6.25,182.88
Tie Fork 1,"Tank Hollow Fire, 2017",Primary Fieldwork,2020,39.982624,-111.212959,,0.76,5.21,19.23,800,7.62,17.74,37.65,1.2,4.66,2.3,600,10,660,small,-25,35,495,891,,173.8804215,1391.820429,11140.78336,306.5510659,2453.778478,19641.19355,1.35,442,2224,23,0.31,53,22.69799995,unsorted,matrix,not stratified,5,4,3,shale,sedimentary,3.28,10.66,7.13,17.74,3.15,1.59,3.37,1.04,0.11,0.19,39.85138772,2.2,0,0,97.8,0,74.37,0.36,233.67,21.63,0,4.96,103.34,0.55,39.45,0.48,49.55,37.75,0,0,0,0.09,12.13,535.9,244.67,5.63,182.88
Tie Fork 2,"Tank Hollow Fire, 2017",Primary Fieldwork,2020,39.998112,-111.215523,,1.67,11.36,46.41,884,7.77,26.13,50.66,5.72,4.8,2.7,2200,15,2530,small,-25,35,1897.5,3415.5,,80.8419567,647.0969293,5179.667256,142.5244256,1140.832335,9131.756958,0.26,339,2256,36,0.09,47,27.48920059,unsorted,matrix,not stratified,10,4,4,shale,sedimentary,3.33,10.75,7.19,17.55,3.22,1.59,3.35,1.04,0.12,0.19,40.09374353,5.27,0,0,94.73,0,73.73,0.4,237.14,21.53,0,5,103.28,0.53,39.78,0.21,41.85,48.92,0,0,0,0.06,8.97,556.23,246.53,5.6,182.88
Trailmountain 1,"Trail Mountain, 2017",Primary Fieldwork,2020,39.424023,-111.156711,,0.02,4.27,47.35,790,2,4.3,50.2,8.9,11.21,4.65,1700,40,2380,small,-25,35,1785,3213,,199.6889158,1598.403719,12794.37288,346.1198819,2770.505835,22176.42783,1.32,569,2678,12,0.16,76,33.61119843,unsorted,matrix,stratified,10,4,3,sandstone,sedimentary,3.4,10.59,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88
Trailmountain 2,"Trail Mountain, 2017",Primary Fieldwork,2020,39.423344,-111.140594,,0.016,0.76,29.24,955,2,14.24,45,4.42,10.84,4.49,180,40,252,small,-25,35,189,340.2,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.1,469,2506,0,0,95,31.01519966,unsorted,matrix,stratified,15,4,3,sandstone,sedimentary,3.26,10.28,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88
Trailmountain 3,"Trail Mountain, 2017",Primary Fieldwork,2020,39.404434,-111.137222,,0.64,13.68,52.17,1520,2,18.44,37.44,0.35,6.35,4.23,1370,15,1575.5,small,-25,35,1181.625,2126.925,,234.1406675,1874.171694,15001.74907,404.0137069,3233.915158,25885.77335,0.54,586,2560,42,0.23,83,28.17790031,unsorted,matrix,not stratified,10,4,4,sandstone,sedimentary,3.25,10.25,4.91,15.81,2.83,1.48,5.72,0.32,0.09,0.13,40.33012336,0,0,0,100,0,63.35,0.11,240.92,24.96,0,7.17,118.5,1.02,31.61,0.21,78.92,9.96,0.22,0,0,5.38,5.24,715.32,24,3.99,178.86
