Site ,Fire,Source,year_surveyed,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner 2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief ,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,2yr_storm,100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs
Trailmountain 4,"Trail Mountain, 2017",Primary Fieldwork,2020,39.461922,-111.180023,,0.021,0.79,20.4,530,2,2,39.98,1.69,9.92,4.32,210,30,273,small,-25,35,204.75,368.55,,155.9197145,1248.054508,9990.013509,270.9629368,2168.914404,17361.00793,0.28,501,2782,47,0.13,81,22.27659988,unsorted,matrix,not stratified,2,5,2,sandstone,sedimentary,3.5,10.81,4.79,15.46,2.91,1.46,5.81,0.3,0.1,0.13,40.37873167,0,0,0,100,0,61.58,0.11,237.33,22.74,0,7.13,119.51,1.17,31.47,0.15,45.15,39.36,0.12,0,0,6.3,8.92,751.46,24,3.56,182.16
West Valley 1,"West Valley, 2018",Primary Fieldwork,2020,37.450813,-113.437439,,0.038,2.22,6.69,413,2,4.85,14.12,0.24,7.46,2.82,50,5,52.5,small,-25,35,39.375,70.875,,124.8027162,998.9794624,7996.300052,229.7934307,1839.374373,14723.21499,0.34,326,2371,67,0.23,49,18.79859924,unsorted,matrix,not stratified,3,5,3,volcanic,igneous,5,14.45,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
West Valley 2,"West Valley, 2018",Primary Fieldwork,2020,37.448124,-113.406265,,0.84,5.85,43.16,770,2,9.65,128,0.32,5.68,6,100,20,120,small,-25,35,90,162,,156.097008,1249.473648,10001.37297,288.0057526,2305.333094,18452.96709,0.75,332,2600,52,0.39,34,23.59630013,sorted,matrix,not stratified,10,3,3,volcanic,igneous,5.1,14.66,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
West Valley 3,"West Valley, 2018",Primary Fieldwork,2020,37.449371,-113.415977,,0.04,6.72,138.84,613,2,16,43.85,12.52,11.76,4.45,230,25,287.5,small,-25,35,215.625,388.125,,259.0346228,2073.434586,16596.74269,476.8459428,3816.898526,30552.2456,1.04,421,2536,66,0.69,53,20.2,unsorted,matrix,not stratified,5,4,3,volcanic,igneous,5.15,14.7,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
Frenchy's Meadow,"Yellowstone Fires, 1988","Meyer and Wells, 1997",,45.082156,-110.16194,,0.024,0.21,3.25,,,,,,7.08,,,,,,,,,,,365.5443641,2925.988499,23420.98399,365.5443641,2925.988499,23420.98399,1.6,785,2411,87,1.39,36,26.55,,,,,,,volcanic,igneous,,,12.53,8.07,6.06,2.28,4.27,2.4,0.04,0.21,53.75300159,0,0,9.48,0,90.52,136,1.15,321.02,19.38,0,5.99,119.38,0.73,41.35,0.77,29.57,0.03,11.39,0,0.6,0.05,57.17,839.91,461.32,0.92,174.69
Slough R.S.,"Yellowstone Fires, 1988","Meyer and Wells, 1997",,45.054164,-110.149262,,0.05,0.66,4,,,,,,6.32,,,,,,,,,,,324.9897873,2601.37065,20822.5905,324.9897873,2601.37065,20822.5905,0.95,800,2614,96,0.91,72,20,,,,,,,gneiss,metamorphic,,,12.27,8.73,6,2.26,4.39,2.37,0.04,0.22,52.5360139,0,0,10.49,0.11,89.4,132.96,1.03,318.28,19.45,0,5.94,118.91,0.73,41.14,0.92,26.72,0.04,10.6,0,0.59,0.04,60.65,819.74,461.57,1,175.46
Twelve Kilometer,"Yellowstone Fires, 1988","Meyer and Wells, 1997",,44.99476,-110.19465,,0.006,0.15,2.31,,,,,,8.59,,11000,,11000,medium,-28,30,7920,14300,,399.5673079,3198.324095,25600.8858,399.5673079,3198.324095,25600.8858,1.75,819,2473,82,1.44,35,33.84120178,,,,,,,volcanic,igneous,,,15.07,5.67,8.19,1.95,3.16,2.98,0.06,0.23,57.38490188,0,0,0,0,73.52,107.19,1.43,289,10.33,0,10.25,110.29,0.65,52.37,0,86.16,0.25,1.52,0,0.22,0,11.83,751.13,463,1.1,165.61
H-Wild Mountain 3-15-98,Dinosaur Monument,"Larsen, 2003",1998,40.573062,-108.977334,,,,,,4,18,50,,,3.64,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.95,920,2111,,,82,47.082901,,,,,,,limestone,sedimentary,3.1,9.6,8.43,10.53,6.55,1.79,2.68,0.84,0.18,0.16,46.76221348,11.98,0.78,0.75,74.67,4.89,64.2,32.68,449.61,18.06,0.01,8.36,102.1,0.42,44.7,1.45,10.8,0.9,7.39,2.47,1.34,0.2,72.91,348.5,151.64,4.09,175.68
H-Wild Mountain 9-21-98,Dinosaur Monument,"Larsen, 2003",1998,40.573062,-108.977334,,,,,,19,46.5,97.5,,,2.36,2100,,2100,small,-25,35,1575,2835,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.95,920,2111,,,82,47.082901,,,,,,,limestone,sedimentary,3.1,9.6,8.43,10.53,6.55,1.79,2.68,0.84,0.18,0.16,46.76221348,11.98,0.78,0.75,74.67,4.89,64.2,32.68,449.61,18.06,0.01,8.36,102.1,0.42,44.7,1.45,10.8,0.9,7.39,2.47,1.34,0.2,72.91,348.5,151.64,4.09,175.68
H-Wild Mountain 8-4-99,Dinosaur Monument,"Larsen, 2003",1999,40.573062,-108.977334,,,,,,33.5,96,222.5,,,2.73,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.95,920,2111,,,82,47.082901,,,,,,,limestone,sedimentary,3.1,9.6,8.43,10.53,6.55,1.79,2.68,0.84,0.18,0.16,46.76221348,11.98,0.78,0.75,74.67,4.89,64.2,32.68,449.61,18.06,0.01,8.36,102.1,0.42,44.7,1.45,10.8,0.9,7.39,2.47,1.34,0.2,72.91,348.5,151.64,4.09,175.68
H-Wild Mountain 8-6-02,Dinosaur Monument,"Larsen, 2003",2002,40.573062,-108.977334,,,,,,11.65,112.5,222.5,,,4.26,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.95,920,2111,,,82,47.082901,,,,,,,limestone,sedimentary,3.1,9.6,8.43,10.53,6.55,1.79,2.68,0.84,0.18,0.16,46.76221348,11.98,0.78,0.75,74.67,4.89,64.2,32.68,449.61,18.06,0.01,8.36,102.1,0.42,44.7,1.45,10.8,0.9,7.39,2.47,1.34,0.2,72.91,348.5,151.64,4.09,175.68
B-Winnies RR,Dinosaur Monument,"Larsen, 2003",2001,40.68527,-108.905382,,,,,,,5.38,126.2,,,,240,,240,small,-25,35,180,324,,174.9237548,1400.171758,11207.63131,294.7286606,2359.146402,18883.71404,0.11,692,2083,45,0.05,69,31.55120087,,,,,,,sandstone,sedimentary,3.1,9.6,8.44,10.53,6.58,1.79,2.69,0.85,0.18,0.16,46.68965099,12.06,0.79,0.71,74.54,4.92,63.91,32.9,450.33,18.06,0.01,8.37,102.17,0.42,44.7,1.46,10.63,0.9,7.44,2.49,1.35,0.21,72.99,348.4,151.85,4.08,175.64
B-Winnies RR,Dinosaur Monument,"Larsen, 2003",2001,40.68527,-108.905382,,,,,,,,3.91,,,,240,,240,small,-25,35,180,324,,174.9237548,1400.171758,11207.63131,294.7286606,2359.146402,18883.71404,0.11,692,2083,45,0.05,69,31.55120087,,,,,,,sandstone,sedimentary,3.1,9.6,8.44,10.53,6.58,1.79,2.69,0.85,0.18,0.16,46.68965099,12.06,0.79,0.71,74.54,4.92,63.91,32.9,450.33,18.06,0.01,8.37,102.17,0.42,44.7,1.46,10.63,0.9,7.44,2.49,1.35,0.21,72.99,348.4,151.85,4.08,175.64
C-Jack Springs Draw,Dinosaur Monument,"Larsen, 2003",2001,40.666068,-108.908166,,,,,,113.95,221.475,578,,,2.34,875,,875,small,-25,35,656.25,1181.25,,385.3558325,3084.568782,24690.33493,649.2852186,5197.183349,41600.69256,0.74,658,2047,76,0.56,75,23.37999916,,,,,,,sandstone,sedimentary,3.1,9.6,8.44,10.53,6.58,1.79,2.69,0.85,0.18,0.16,46.69586803,12.06,0.78,0.71,74.55,4.92,63.92,32.89,450.29,18.06,0.01,8.37,102.16,0.42,44.71,1.46,10.64,0.9,7.44,2.49,1.35,0.21,72.98,348.4,151.85,4.08,175.64
D-Buster Basin ,Dinosaur Monument,"Larsen, 2003",2001,40.660361,-108.918468,,,,,,4.64,43.63,157.02,,,5.08,770,,770,small,-25,35,577.5,1039.5,,1938.038105,15512.96577,124173.0523,3250.052219,26014.94196,208235.7942,10.71,917,2165,85,9.1,54,31.34609985,,,,,,,sandstone,sedimentary,3.2,9.7,8.44,10.53,6.57,1.79,2.69,0.85,0.18,0.16,46.70399928,12.06,0.78,0.71,74.56,4.92,63.95,32.88,450.22,18.06,0.01,8.37,102.15,0.42,44.71,1.46,10.65,0.9,7.43,2.48,1.35,0.21,72.98,348.4,151.84,4.08,175.64
E-Middle Disaster ,1996 Fire Dinosaur NM,Martin 2000,,40.647995,-108.930532,,,,,,,9.8,132.63,,4.76,3.92,37.5,,37.5,small,-25,35,28.125,50.625,,475.1294723,3803.159091,30442.26872,796.7828865,6377.823846,51051.09272,0.88,725,2113,70,0.62,70.2,17.44,,,,,,,sandstone,sedimentary,3.2,9.7,14.52,2.77,4.75,3.49,1.32,3.61,0.03,0.15,67.23258972,0,0.78,0,0,100,73.85,0.04,284.96,41.8,0,1.09,150.64,0.18,20.24,0,26.99,0.24,0,0,0,3.11,69.66,796.98,63.06,4.31,182.88
Shingle Creek site 1,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.486138,-112.497659,,2.78,27.41,75.1,,7.66,40.86,116.12,,2.47,4.84,,,,,,,,,,106.9729253,856.2614555,6853.918203,199.2796435,1595.127711,12768.15018,0.23,287,2914,92,0.21,11,15.6,,,,,,,volcanic,igneous,5.2,15.02,13.82,2.6,4.49,3.32,1.27,3.3,0.03,0.14,67.83439124,0,0,0,7.41,92.59,75.95,0.05,292,41.82,0,1.46,145.69,0.24,18.97,0,18.25,2.38,0.01,0,0,0.89,78.39,716.44,66,5.48,182.88
Shingle Creek site 2,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.521416,-112.48801,,5.8,11.37,32.1,,4.9,45,140.26,,5.23,,,,,,,,,,,718.2384938,5749.117697,46018.63389,1318.540648,10554.21763,84480.90695,4,599,2744,78,3.12,13,25.81769943,,,,,,,volcanic,igneous,4.7,13.88,14.02,2.39,5.94,3.27,1.28,3.07,0.07,0.15,65.54788264,6.17,0,0,3.45,90.38,65.35,0.95,234.06,16.99,0,7.09,139.02,0.81,41.63,7.37,33.5,5.27,0.62,0,0,2.64,50.59,796.22,67.42,4.85,182.88
Fish Creek Site 1,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.501214,-112.453485,,`,11.29,82.8,,,,,,3.41,,,,,,,,,,,107.5125165,860.5805959,6888.490628,196.1069829,1569.732248,12564.87298,0.24,322,2341,73,0.18,73,26.70560074,,,,,,,sandstone,sedimentary,4.55,13.5,14.02,2.39,5.94,3.27,1.28,3.07,0.07,0.15,65.54788264,6.17,0,0,3.45,90.38,65.35,0.95,234.06,16.99,0,7.09,139.02,0.81,41.63,7.37,33.5,5.27,0.62,0,0,2.64,50.59,796.22,67.42,4.85,182.88
Fish Creek Site 2,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.504078,-112.456199,,1.21,4.1,12.87,,,,,,4.84,,,,,,,,,,,727.9719159,5827.028571,46642.26906,1326.636229,10619.01845,84999.60311,1.15,756,2526,98,1.13,71,25.60759926,,,,,,,volcanic,igneous,4.56,13.5,14.02,2.39,5.94,3.27,1.28,3.07,0.07,0.15,65.54788264,6.17,0,0,3.45,90.38,65.35,0.95,234.06,16.99,0,7.09,139.02,0.81,41.63,7.37,33.5,5.27,0.62,0,0,2.64,50.59,796.22,67.42,4.85,182.88
Fish Creek Site 3,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.504983,-112.456048,,0.76,5.76,21.8,,,,,,4.2,,,,,,,,,,,218.0388245,1745.284993,13970.07947,395.3156732,3164.292017,25328.47709,0.75,387,2345,92,0.69,61,23.19199944,,,,,,,volcanic,igneous,4.43,13.18,14.02,2.39,5.92,3.27,1.28,3.07,0.07,0.15,65.58335426,5.95,0,0,3.32,90.73,65.41,0.93,235.01,17.64,0,6.98,138.66,0.8,40.91,7.11,32.91,5.09,0.6,0,0,2.57,51.72,790.36,67.44,4.91,182.88
Fish Creek Site 4,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.51433,-112.459064,,1.96,3.98,36.1,,,,,,4.13,,,,,,,,,,,908.8478246,7274.84416,58231.26394,1658.262616,13273.51156,106247.4107,2.1,795,2570,77,1.62,51,17.15390015,,,,,,,volcanic,igneous,4.57,13.54,13.77,2.3,5.94,3.2,1.26,2.95,0.07,0.15,65.63661055,5.49,0,0,7.05,87.46,64.55,1.03,238.6,18.47,0,6.95,136.56,0.81,39.58,6.56,32.37,4.72,0.55,0,0,2.37,53.41,773.05,67.48,5.08,182.88
Fish Creek Site 5,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.519456,-112.456953,,2.81,13,49.32,,,,,,2.97,,,,,,,,,,,773.1647127,6188.772908,49537.84036,1391.777031,11140.43598,89173.27352,2.3,709,2448,87,2,40,16.09499931,,,,,,,alluvium,sedimentary,4.2,12.65,13.48,2.23,5.84,3.12,1.24,2.82,0.07,0.15,65.89228995,5.19,0,0,12.17,82.65,65.19,1.04,240.67,18.75,0,7.02,134.55,0.83,38.83,6.2,32.15,4.63,0.52,0,0,2.24,54.24,759.73,67.51,5.2,182.88
Fish Creek Site 6,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.534683,-112.45243,,1.65,4,12.94,,,,,,3.46,,,,,,,,,,,480.7279743,3847.972126,30800.97327,861.1294148,6892.883632,55173.87276,2.88,506,2336,85,2.45,21,12.98200035,,,,,,,sandstone,sedimentary,4.09,12.37,7.8,1.53,2.54,1.63,1.12,0.64,0.01,0.12,72.09735201,0,0,0,100,0,99.45,0.11,310.28,23.64,0,8.28,100.01,1.17,25.77,0,6.33,0,0,0,0,0,93.67,509.48,68,7.32,182.88
Fish Creek Site 7,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.540412,-112.448812,,1.18,3.97,13,,,,,,,,,,,,,,,,,388.4484018,3109.323157,24888.48056,696.4429745,5574.65614,44622.16178,3.1,463,2258,72,2.23,19,26.46,,,,,,,sandstone,sedimentary,3.56,11.45,14.77,4.14,4.64,3.28,2.2,3.47,0.01,0.19,63.75778808,0,0,0,0,100,142.33,2.42,238.33,12.74,0,10.15,43.09,0.26,64.36,0.09,1.27,0,0,0,0,0.05,97.9,487.95,17,18.47,182.88
U10 Fan,"Woodbury Fire, 2019",McGuire et al. 2020,2020,33.5373,-111.294,,,,,,0,3.17,16.8,,,,100,,100,small,-25,35,75,135,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.29,398,839,0,0,61,23.62,,,,,,,volcanic,igneous,5.87,14.56,14.77,4.14,4.64,3.28,2.2,3.47,0.01,0.19,63.75778808,0,0,0,0,100,142.33,2.42,238.33,12.74,0,10.15,43.09,0.26,64.36,0.09,1.27,0,0,0,0,0.05,97.9,487.95,17,18.47,182.88
B7 Fan,"Woodbury Fire, 2019",McGuire et al. 2020,2020,33.5371,-111.2804,,,,,,0,2.61,20.94,,,,1000,,1000,small,-25,35,750,1350,,98.96243729,792.141753,6340.674037,171.3636766,1371.675223,10979.53168,0.17,396,925,29,0.05,46,16.76,,,,,,,volcanic,igneous,5.95,14.8,14.06,5.46,5.26,2.73,2.76,3.12,0.02,0.21,60.51789589,0,0,0,13.32,86.68,128.95,2.93,216.47,12.82,0,9.98,46.7,0.22,65.17,0.18,14.64,0,0,0,0.05,0.01,84.7,579.51,17.11,16.66,182.88
U42 Fan,"Woodbury Fire, 2019",McGuire et al. 2020,2020,33.5283,-111.3064,,,,,,0,7.64,28.6,,7.06,,300,,300,small,-25,35,225,405,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.18,269,903,0,0,28,35.4,,,,,,,sandstone,sedimentary,5.93,14.7,15.65,3.89,3.8,3.05,1.78,3.62,0.01,0.17,65.06386566,0,0,0,0,100,152.71,0.02,189.08,18.21,0,6.07,45.2,1.01,32.05,0,39.24,0,0,0,0,2.73,57.59,755.06,121,15.74,182.88
Big Tujunga 2009,"2009 Station and
Jesusita Fires","Kean et al., 2011",2009,34.287191,-118.233604,,0.078,0.35,10.39,,,,,,7.21,,,,,,,,,,,1321.496986,10577.88155,84670.32401,2558.407137,20478.6904,163921.0407,1.37,977,1060,97,1.33,89,35.4,,,,,,,granite,igneous,5.1,15.62,15.65,3.89,3.8,3.05,1.78,3.62,0.01,0.17,65.06386566,0,0,0,0,100,152.71,0.02,189.08,18.21,0,6.07,45.2,1.01,32.05,0,39.24,0,0,0,0,2.73,57.59,755.06,121,15.74,182.88
Big Tujunga 2010,"2009 Station and
Jesusita Fires","Kean et al., 2011",2010,34.287191,-118.233604,,0.26,13.83,38.58,,,,,,7.56,,,,,,,,,,,1321.496986,10577.88155,84670.32401,2558.407137,20478.6904,163921.0407,1.37,977,1060,97,1.33,89,35.6,,,,,,,granite,igneous,5.1,15.62,13.27,2.74,12.59,2.63,1.33,2.5,0.34,0.15,53.62882802,45.23,0,0,0,54.77,95.51,51.26,307.27,18.65,0,8.02,72.78,0.62,38.75,0.12,3.74,0,0.6,0,0,0.12,47.48,673.92,121,16.68,153.48
Dunsmore 1,"2009 Station and
Jesusita Fires","Kean et al., 2011",2010,34.259485,-118.24203,,0.24,16.12,45.42,,,,,,7.69,,,,,,,,,,,248.1050446,1985.949117,15896.46797,463.4012526,3709.280922,29690.82383,0.475,559,1268,43,0.2,92,35.6,,,,,,,granite,igneous,5,14.73,13.27,2.74,12.59,2.63,1.33,2.5,0.34,0.15,53.62882802,45.23,0,0,0,54.77,95.51,51.26,307.27,18.65,0,8.02,72.78,0.62,38.75,0.12,3.74,0,0.6,0,0,0.12,47.48,673.92,121,16.68,153.48
Dunsmore 2,"2009 Station and
Jesusita Fires","Kean et al., 2011",2010,34.252883,-118.246537,,0.21,12.18,43.3,,,,,,,,,,,,,,,,,75.16414405,601.6490545,4815.881154,140.3887557,1123.737431,8994.921335,0.0795,332,983,66,0.05,92,37.34579849,,,,,,,granite,igneous,5,14.73,8.44,10.53,6.57,1.79,2.69,0.85,0.18,0.16,46.70525231,12.05,0,0.71,74.56,4.92,63.95,32.88,450.21,18.06,0.01,8.37,102.15,0.42,44.71,1.46,10.65,0.9,7.43,2.48,1.35,0.21,72.98,348.4,151.83,4.08,175.64
